id,title,year,price,msrp,km,gear,fuel,color,delivery_weeks,image,highlights,sold
n1,BYD Atto 3,2025,149900,159900,0,אוטומט,חשמלי,לבן,2,https://images.unsplash.com/photo-1619767886558-efdc259cde1f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר קומפקטי, בטיחות מתקדמת, טעינה מהירה DC|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n2,BYD Dolphin,2025,129900,139900,0,אוטומט,חשמלי,שחור,3,https://images.unsplash.com/photo-1549924231-f129b911e442?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|האצ'בק חכם, טווח שימושי, רכב עירוני מצוין|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n3,BYD Seal,2025,189900,199900,0,אוטומט,חשמלי,אפור,4,https://images.unsplash.com/photo-1618843479314-0164913fd9ae?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|סדאן ביצועים, הנעה אחורית, עיצוב פרימיום|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n4,Geely Geometry C,2025,139900,149900,0,אוטומט,חשמלי,כחול,5,https://images.unsplash.com/photo-1616422285623-13ff0162193c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי, אבזור עשיר, טווח יומיומי|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n5,MG 4,2025,134900,144900,0,אוטומט,חשמלי,אדום,6,https://images.unsplash.com/photo-1519622956251-c9bb7132326f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|האצ'בק חשמלית, דינמית וחסכונית, אחריות ארוכה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n6,MG ZS EV,2025,144900,154900,0,אוטומט,חשמלי,כסוף,8,https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי משפחתי, נוחות גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n7,Tesla Model 3,2025,199900,209900,0,אוטומט,חשמלי,לבן,2,https://images.unsplash.com/photo-1511391038070-9da940707cd0?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|סדאן טכנולוגית, אוטופיילוט, עדכוני OTA|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n8,Tesla Model Y,2025,229900,239900,0,אוטומט,חשמלי,שחור,3,https://images.unsplash.com/photo-1549921296-3ecf54f4e0f2?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי, מרווח משפחתי, ביצועים חזקים|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n9,Hyundai Kona Electric,2025,167900,177900,0,אוטומט,חשמלי,אפור,4,https://images.unsplash.com/photo-1502877338535-766e1452684a?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|עירוני-משפחתי, מסכי מולטימדיה מתקדמים|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n10,Hyundai Ioniq 5,2025,239900,249900,0,אוטומט,חשמלי,כחול,5,https://images.unsplash.com/photo-1550353127-b0da3aeaa0ca?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|פלטפורמת E-GMP, טעינת 800V, עיצוב רטרו-מודרני|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n11,Skoda Enyaq,2025,229900,239900,0,אוטומט,חשמלי,אדום,6,https://images.unsplash.com/photo-1519641471654-76ce0107adfe?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר איכותי, תא מטען גדול|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n12,Volkswagen ID.4,2025,219900,229900,0,אוטומט,חשמלי,כסוף,8,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|מאוזן, מערכות סיוע מתקדמות|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n13,Kia Niro EV,2025,199900,209900,0,אוטומט,חשמלי,לבן,2,https://images.unsplash.com/photo-1511919884226-fd3cad34687c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|חסכוני, אחריות יצרן ארוכה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n14,Chery Omoda E5,2025,159900,169900,0,אוטומט,חשמלי,שחור,3,https://images.unsplash.com/photo-1483721310020-03333e577078?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|חדש, אבזור עשיר|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n15,Toyota Corolla Hybrid,2025,154900,164900,0,אוטומט,היברידי,אפור,4,https://images.unsplash.com/photo-1485463611273-9c4a73a0e894?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|אמינות גבוהה, צריכת דלק מצוינת|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n16,Toyota Yaris Cross Hybrid,2025,139900,149900,0,אוטומט,היברידי,כחול,5,https://images.unsplash.com/photo-1512496015851-a90fb38ba796?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|קרוסאובר עירוני, בטיחות מתקדמת|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n17,Toyota RAV4 Hybrid,2025,224900,234900,0,אוטומט,היברידי,אדום,6,https://images.unsplash.com/photo-1494976388531-d1058494cdd8?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|משפחתי חזק ומרווח, תא מטען גדול|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n18,Hyundai Tucson Hybrid,2025,199900,209900,0,אוטומט,היברידי,כסוף,8,https://images.unsplash.com/photo-1542280756-312e9365b672?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|נוחות מצוינת, אבזור מתקדם|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n19,Kia Sportage Hybrid,2025,199900,209900,0,אוטומט,היברידי,לבן,2,https://images.unsplash.com/photo-1533473359331-0135ef1b58bf?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|טכנולוגיה מודרנית, שימושיות גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n20,Kia Niro Hybrid,2025,169900,179900,0,אוטומט,היברידי,שחור,3,https://images.unsplash.com/photo-1549923746-c502d488b3ea?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|חסכוני ויעיל, תחזוקה קלה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n21,Suzuki Vitara Hybrid,2025,139900,149900,0,אוטומט,היברידי,אפור,4,https://images.unsplash.com/photo-1619767886558-efdc259cde1f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|קל, חסכוני ופרקטי|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n22,Toyota C-HR Hybrid,2025,164900,174900,0,אוטומט,היברידי,כחול,5,https://images.unsplash.com/photo-1549924231-f129b911e442?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|עיצוב ייחודי, חסכון בדלק|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n23,Honda HR-V Hybrid,2025,174900,184900,0,אוטומט,היברידי,אדום,6,https://images.unsplash.com/photo-1618843479314-0164913fd9ae?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|נעים לנהיגה, תא מטען חכם|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n24,Mitsubishi Outlander PHEV,2025,244900,254900,0,אוטומט,היברידי,כסוף,8,https://images.unsplash.com/photo-1616422285623-13ff0162193c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|פלאג-אין, 7 מקומות, הנעה כפולה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n25,Mazda CX-60 PHEV,2025,289900,299900,0,אוטומט,היברידי,לבן,2,https://images.unsplash.com/photo-1519622956251-c9bb7132326f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|פלאג-אין יוקרתי, איכות חומרים גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n26,Cupra Formentor e-Hybrid,2025,219900,229900,0,אוטומט,היברידי,שחור,3,https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|פלאג-אין ספורטיבי, קופה-קרוסאובר|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n27,Skoda Octavia e-TEC,2025,169900,179900,0,אוטומט,היברידי,אפור,4,https://images.unsplash.com/photo-1511391038070-9da940707cd0?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|משפחתית מרווחת, סיוע נהג מתקדם|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n28,Peugeot 3008 Hybrid,2025,219900,229900,0,אוטומט,היברידי,כחול,5,https://images.unsplash.com/photo-1549921296-3ecf54f4e0f2?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|פלאג-אין, תא נוסעים מודרני|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n29,Renault Captur E-Tech Hybrid,2025,149900,159900,0,אוטומט,היברידי,אדום,6,https://images.unsplash.com/photo-1502877338535-766e1452684a?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|קרוסאובר קומפקטי, שימושיות גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n30,Toyota Camry Hybrid,2025,229900,239900,0,אוטומט,היברידי,כסוף,8,https://images.unsplash.com/photo-1550353127-b0da3aeaa0ca?q=80&w=1600&auto=format&fit=crop,"קטגוריה: היברידי|סדאן מרווחת, שקט ובידוד מצוינים|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n31,Hyundai Elantra,2025,149900,159900,0,אוטומט,בנזין,לבן,2,https://images.unsplash.com/photo-1519641471654-76ce0107adfe?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|סדאן פופולרית, אבזור בטיחות עשיר|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n32,Kia Picanto,2025,89900,99900,0,אוטומט,בנזין,שחור,3,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|מיני עירונית נמכרת, חסכונית וקלה לתחזוקה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n33,Skoda Octavia 1.5 TSI,2025,179900,189900,0,אוטומט,בנזין,אפור,4,https://images.unsplash.com/photo-1511919884226-fd3cad34687c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|משפחתית מרווחת, מנוע טורבו חסכוני|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n34,Mazda 3,2025,164900,174900,0,אוטומט,בנזין,כחול,5,https://images.unsplash.com/photo-1483721310020-03333e577078?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|האצ'בק איכותית עם חוויית נהיגה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n35,Suzuki Swift,2025,109900,119900,0,אוטומט,בנזין,אדום,6,https://images.unsplash.com/photo-1485463611273-9c4a73a0e894?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|האצ'בק קלה וחסכונית, מתאים לעיר|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n36,Renault Clio,2025,114900,124900,0,אוטומט,בנזין,כסוף,8,https://images.unsplash.com/photo-1512496015851-a90fb38ba796?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|האצ'בק מודרנית עם בטיחות גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n37,Peugeot 208,2025,124900,134900,0,אוטומט,בנזין,לבן,2,https://images.unsplash.com/photo-1494976388531-d1058494cdd8?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|עיצוב צעיר, תא נוסעים i-Cockpit|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n38,Citroën C3,2025,114900,124900,0,אוטומט,בנזין,שחור,3,https://images.unsplash.com/photo-1542280756-312e9365b672?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|סופרמיני נוחה, מושבי Advanced Comfort|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n39,Toyota Corolla 1.6,2025,154900,164900,0,אוטומט,בנזין,אפור,4,https://images.unsplash.com/photo-1533473359331-0135ef1b58bf?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|סדאן אמינה ואיכותית|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n40,Hyundai i10,2025,89900,99900,0,אוטומט,בנזין,כחול,5,https://images.unsplash.com/photo-1549923746-c502d488b3ea?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|מיני שימושית וזולה לאחזקה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n41,Hyundai i20,2025,114900,124900,0,אוטומט,בנזין,אדום,6,https://images.unsplash.com/photo-1619767886558-efdc259cde1f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|סופרמיני מרווחת, מולטימדיה עשירה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n42,Kia Stonic,2025,119900,129900,0,אוטומט,בנזין,כסוף,8,https://images.unsplash.com/photo-1549924231-f129b911e442?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|קרוסאובר עירוני עם ישיבה גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n43,Nissan Qashqai,2025,164900,174900,0,אוטומט,בנזין,לבן,2,https://images.unsplash.com/photo-1618843479314-0164913fd9ae?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|קרוסאובר משפחתי נמכר מאוד|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n44,Mitsubishi ASX,2025,139900,149900,0,אוטומט,בנזין,שחור,3,https://images.unsplash.com/photo-1616422285623-13ff0162193c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|קרוסאובר פרקטי ואמין|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n45,Seat Arona,2025,119900,129900,0,אוטומט,בנזין,אפור,4,https://images.unsplash.com/photo-1519622956251-c9bb7132326f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: בנזין|קרוסאובר קטן זריז|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n46,BMW 330e M Sport,2025,274900,284900,0,אוטומט,היברידי,כחול,5,https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?q=80&w=1600&auto=format&fit=crop,"קטגוריה: יוקרה|יוקרה-ספורט פלאג-אין, דינמיקה מעולה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n47,Mercedes GLC 300,2025,389900,399900,0,אוטומט,בנזין,אדום,6,https://images.unsplash.com/photo-1511391038070-9da940707cd0?q=80&w=1600&auto=format&fit=crop,"קטגוריה: יוקרה|נוחות ושקט מקסימליים, קרוסאובר יוקרה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n48,Audi Q5 45 TFSI,2025,339900,349900,0,אוטומט,בנזין,כסוף,8,https://images.unsplash.com/photo-1549921296-3ecf54f4e0f2?q=80&w=1600&auto=format&fit=crop,"קטגוריה: יוקרה|מאוזן עם אבזור עשיר, איכות חומרים גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n49,Lexus NX 350h,2025,314900,324900,0,אוטומט,היברידי,לבן,2,https://images.unsplash.com/photo-1502877338535-766e1452684a?q=80&w=1600&auto=format&fit=crop,"קטגוריה: יוקרה|היברידי יוקרתי, אמינות ושקט|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n50,Volvo XC60 Recharge,2025,329900,339900,0,אוטומט,היברידי,שחור,3,https://images.unsplash.com/photo-1550353127-b0da3aeaa0ca?q=80&w=1600&auto=format&fit=crop,"קטגוריה: יוקרה|פלאג-אין יוקרה, מערכות בטיחות מתקדמות|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
